368,762,3,3.1,504,50,621,15,232,70,700,83,575,76,9.569500E-05,2.569549E+01,7.350108E+04,1.434578E+06,9.164940E+01,2.898968E+01
422,389,9,4,964,5,915,47,716,79,463,92,567,23,6.672690E-04,3.070822E+01,4.275520E+04,1.509656E+06,1.152340E+02,1.882290E+01
977,396,9,5,222,61,529,34,488,59,667,82,597,6,2.405060E-04,4.115563E+01,3.929217E+04,7.148579E+06,1.373682E+02,1.029057E+01
926,207,1,5,370,94,738,29,423,14,539,96,967,7,3.111070E-04,5.532100E+01,5.297720E+04,5.278433E+07,1.082557E+02,8.725136E+00
715,885,1,9,314,9,360,93,901,71,377,22,722,86,5.460600E-05,4.719473E+01,9.006455E+04,3.304272E+07,3.823568E+01,5.215066E+00
410,728,2,9,418,5,824,99,221,94,779,22,377,97,4.462280E-04,8.333587E+00,7.648436E+05,1.867562E+06,6.064953E+01,4.461574E+00
368,734,3,9,517,3,840,32,268,43,424,41,793,90,1.120060E-04,2.342464E+01,1.172909E+05,1.775367E+06,1.133134E+02,1.567423E+01
805,585,1,2,614,71,858,49,855,8,437,53,792,87,5.508840E-04,5.085529E+01,7.786755E+04,2.838211E+07,9.380469E+01,1.567618E+01
987,324,3,4,311,99,510,27,993,99,361,73,798,61,1.073709E-03,9.223676E+00,1.084492E+05,2.967911E+05,9.399617E+01,2.701134E+01
333,991,3,6,581,49,952,61,973,67,938,17,496,81,2.587000E-06,7.725327E+00,1.794749E+03,4.003022E+03,8.140729E+01,2.568366E+01
450,654,9,6,778,70,231,56,592,64,561,11,982,22,1.145141E-03,5.599371E+01,5.667937E+04,1.811290E+09,2.377416E+01,4.349441E+00
315,502,7,2,472,57,215,3,945,93,328,90,840,27,5.002230E-04,4.555930E+01,7.588308E+04,1.646638E+07,1.354571E+02,1.334350E+01
369,475,9,3,518,87,937,23,840,89,856,3,530,36,7.899200E-04,4.346381E+00,2.058324E+05,3.043099E+05,1.579124E+02,1.969238E+01
800,967,4,3,311,91,937,47,979,54,402,95,612,72,2.643000E-06,2.743254E+01,1.809673E+03,4.387528E+04,7.946403E+01,1.904906E+01
729,393,4,7,783,99,852,11,839,63,501,51,226,83,5.931167E-03,1.072128E+01,7.761396E+04,2.564461E+05,1.345033E+02,6.182592E+00
827,412,6,2,875,51,290,76,555,83,993,20,807,53,6.241460E-04,3.503268E+00,2.371270E+04,2.650987E+04,9.033282E+01,3.238533E+01
927,354,2,6,497,24,642,66,712,45,401,71,472,10,3.004440E-04,1.662489E+01,2.061365E+04,1.401291E+05,8.839021E+01,3.432144E+01
514,745,6,1,919,1,829,35,564,51,366,88,263,26,2.105360E-04,1.976025E+01,1.733389E+04,1.694011E+05,8.995492E+01,5.361943E+01
695,726,8,2,274,56,654,89,648,35,774,70,577,85,3.704770E-04,5.729693E+01,1.741693E+04,1.754216E+07,1.118264E+02,1.262034E+01
635,843,6,4,571,75,392,76,645,87,368,66,377,67,1.158700E-04,3.700519E+01,4.171754E+04,3.050270E+06,1.032135E+02,1.952252E+01
840,560,9,2,773,99,627,65,901,46,370,14,366,41,6.345450E-04,1.262468E+01,1.866866E+04,7.815346E+04,9.565605E+01,3.036664E+01
667,824,6,8,412,43,775,79,801,51,246,31,427,84,7.545100E-05,2.060055E+01,2.743477E+04,2.975923E+05,1.077245E+02,2.090028E+01
980,875,1,6,763,99,951,11,444,79,799,45,888,29,2.603000E-06,2.316189E+01,5.706598E+03,8.392256E+04,6.815100E+01,1.614659E+01
